time,close,Plot,Shapes,Shapes
1769103000,438.77,0.41604161354208674,,
1769103900,445.555,0.4612066188989368,,
1769104800,447.3,0.521320337802866,,
1769105700,444.98,0.5605384784238541,,
1769106600,446.62,0.6049703685915068,,
1769107500,446.17,0.6478240612838659,,
1769108400,448.07,0.6460785811488731,0.6460785811488731,
1769109300,448.405,0.6324520551307508,,
1769110200,448.195,0.6359741159533915,,
1769111100,446.46,0.6101513808716653,,
1769112000,446.77,0.591220844138773,,
1769112900,446.36,0.5533849062326817,,
1769113800,447.44,0.5232796898429051,,
1769114700,449.35,0.5113415930161244,,
1769178600,445.84,0.4881706963943686,,
1769179500,449.72,0.4943524908875148,,
1769180400,447.82,0.4904281262976983,,
1769181300,446.12,0.46469969718619625,,
1769182200,448.78,0.44180594664234274,,
1769183100,452.01,0.4735668560039179,,
1769184000,450.3,0.45587049344610137,,
1769184900,450.06,0.4518402987395329,,
1769185800,449.54,0.4560788191134517,,
1769186700,448.9,0.43549145744279144,,
1769187600,448.43,0.38386019772365876,,
1769188500,448.89,0.35108491891452187,,
1769189400,446.68,0.30351447048487656,,
1769190300,445.66,0.2532172482990995,,
1769191200,446.49,0.2147793070768695,,
1769192100,446.73,0.18328768120622904,,
1769193000,446.85,0.14856128496328183,,
1769193900,447.35,0.14166226114918476,,
1769194800,447.68,0.14997119650127969,,
1769195700,447.155,0.14739076958782402,,
1769196600,447.62,0.14450157721737134,,
1769197500,448.47,0.14561539702185713,,
1769198400,448.1,0.13861965376797103,,
1769199300,447.27,0.12159080887868294,,
1769200200,447.76,0.11536708246378785,,
1769201100,449.11,0.11518675442910759,,
1769437800,438.73,0.028474202711225877,,
1769438700,439.07,-0.0517196997558694,,
1769439600,440.39,-0.11449906533889381,,
1769440500,437.91,-0.19943903087058784,,
1769441400,436.86,-0.30354865188329083,,
1769442300,438.51,-0.30589591963226964,,
1769443200,438.95,-0.30758591216076137,,
1769444100,439.76,-0.3146238922207413,,
1769445000,439.23,-0.30427867426947386,,-0.30427867426947386
1769445900,439.55,-0.28178208142616173,,
1769446800,439.38,-0.27498610977720717,,
1769447700,439.82,-0.2627166791126644,,
1769448600,438.69,-0.26464899188384566,,
1769449500,438.15,-0.2681832403221853,,
1769450400,438.37,-0.27135148565042105,,
