time,open,high,low,close,Plot,Shapes,Shapes,Oscillator,Original,Sell Signal,Buy Signal,Raw Z,Smoothed,Baseline,ATR
1724333400,223.82,224.8,210.32,210.66,0.04783583591762841,,,-0.0967349031148472,,,,-0.23771850369843836,-0.42654713255006904,219.90500296078432,10.537686052248048
1724419800,214.455,221.48,214.21,220.32,0.04727138326441467,,,-0.0834079518014188,,,,-0.21928505924636119,-0.3850947178893275,219.92824525490192,10.543332331203088
1724679000,218.75,219.09,211.01,213.21,-0.028652376774318512,,,-0.08505682850492982,,,,-0.4107382125006963,-0.3902234168116013,219.83541794117642,10.518665684579025
1724765400,213.25,215.66,206.94,209.21,-0.11974710472969081,,,-0.11080101586164828,,,,-0.7905995809907373,-0.4702986496474285,219.5526121960784,10.482692370887445
1724851800,209.72,211.84,202.59,205.75,-0.23794787476458493,,,-0.1520232979292,,,,-1.1113916833574085,-0.5985172563894245,219.0979770392156,10.458038523469696
1724938200,209.8,214.89,205.97,206.28,-0.2787682050678341,,,-0.17183698553796706,,,,-0.9066616982053971,-0.6601461447526191,218.6930026666667,10.431677753000303
1725024600,208.63,214.5701,207.03,214.11,-0.3373196325759059,,,-0.17430394613404748,,,,-0.6985125614879291,-0.6678194280996811,218.3417645686274,10.388846197940296
1725370200,215.26,219.9043,209.64,210.6,-0.3716595720465365,,,-0.15752383079451263,,,,-0.40685340415668136,-0.6156262233110812,218.07679900000008,10.386355273981492
1725456600,210.59,222.22,210.57,219.41,-0.33262885612572507,,,-0.13129200200572277,,,,-0.2076662110437425,-0.5340342208576135,217.85964337254907,10.411628168501862
1725543000,223.49,235,222.25,230.17,-0.20897041239157768,,,-0.038020432279054474,,,,0.9165345151714421,-0.24392047365180242,218.08996029411762,10.515195605131824
1725629400,232.6,233.6,210.51,210.73,-0.1908730403677463,,,0.0003755958601263376,,,,0.3532183776573861,-0.12449270338996472,218.057006627451,10.766691693029188
1725888600,216.2,219.87,213.67,216.27,-0.19063670993977996,,,0.0006660030319534591,,,,-0.11997626214848534,-0.12358941514166885,217.79034413725483,10.734157859168604
1725975000,220.07,226.4,218.6377,226.17,-0.11171214974688112,,,0.038980484920899956,,,,0.47228122076729684,-0.0044152879598757105,217.75559047058826,10.722074701985232
1726061400,224.55,228.47,216.8003,228.13,-0.06886476136594322,,,0.07949308637453276,,,,0.6256407222054864,0.12159591407319673,217.76755098039217,10.741027207945528
1726147800,224.66,231.45,223.83,229.81,-0.07079610007215836,,,0.12921853757663704,,,,0.8949310805133874,0.2762629473612349,217.88088299999998,10.678606663786617
1726234200,228,232.67,226.32,230.29,0.06475248228928195,,,0.179773170935984,,,,1.0624936372422142,0.4335090853374308,218.06603070588235,10.592034530510885
1726493400,229.3,229.96,223.53,226.78,0.1491026862149703,,,0.20820303145105815,,,,0.8756531057895942,0.5219378894278636,218.1846627254902,10.515393839900666
1726579800,229.45,234.57,226.5533,227.87,0.1774059980024806,,,0.24347758178203333,,,,1.0705312071724227,0.6316565529767755,218.40726633333335,10.46541996310265
1726666200,230.09,235.68,226.88,227.2,0.19527055328042875,,,0.27252335515268766,,,,1.083379311462846,0.7220011046739896,218.66056615686276,10.432111563840598
1726752600,234,244.24,232.13,243.92,0.30086296148918157,,,0.34356637171626103,,,,1.8268691694262975,0.9429747176244512,219.27296205882348,10.564269332563786
1726839000,241.52,243.99,235.92,238.25,0.35520498643477605,,,0.40501385279237706,,,,1.8986120593991942,1.1341021859793998,219.9572638431372,10.51438394591251
1727098200,242.61,250,241.92,250,0.506159723717948,,,0.4860610793021764,,,,2.394556719568815,1.3861930926972827,220.89603621568628,10.539096266994258
1727184600,254.08,257.19,249.0501,254.27,0.6770527399653528,,,0.5901213712507447,,,,3.0045491105599296,1.7098642962698123,222.12646274509802,10.491112341654373
1727271000,252.54,257.05,252.28,257.02,0.8695394812455643,,,0.6742616297611924,,,,3.0184219713934164,1.9715758312945333,223.401270627451,10.376690094821285
1727357400,260.6,261.75,251.53,254.22,0.9317642727923361,,,0.7474460457992582,,,,3.1097471538149963,2.199210095798626,224.76586284313726,10.373556292924858
1727443800,257.375,260.6999,254.12,260.46,1.0670959654362635,,,0.8058048787967205,,,,3.106812475230387,2.3807305716849783,226.17075447058826,10.297683167066362
1727703000,259.04,264.86,255.77,261.63,1.1258989889585855,,,0.8571995515676065,,,,3.1800256381062213,2.540589584969227,227.65491278431375,10.273529503725035
1727789400,262.67,263.98,248.53,258.02,1.143627529345346,,,0.8751060056609932,,0.8751060056609932,,2.819072541320496,2.596286176239481,229.0463181568627,10.377058913650535
1727875800,247.55,251.1585,241.5,249.02,1.092646336233653,1.092646336233653,,0.8141592228791796,,,,1.6484357441739506,2.406716089826375,229.99868529411768,10.499917735377522
1727962200,244.48,249.79,237.81,240.66,0.9919115645764223,,,0.735088323498368,,,,1.1769975924576082,2.160772390352622,230.7917810392157,10.52951938066997
1728048600,246.69,250.96,244.58,250.08,0.9066887729916422,,,0.6958455401394212,,,,1.5504647175851753,2.038710855799133,231.75896894117653,10.524928993056571
1728307800,249,249.83,240.7,240.83,0.7596433129048175,,,0.6413086150258628,,,,1.1905471681854705,1.8690781182764005,232.5868374313725,10.50203041319544
1728394200,243.56,246.21,240.56,244.5,0.6654039306908175,,,0.5851918950380967,,,,0.9963453035366473,1.69453155532845,233.34053727450976,10.40498980493153
1728480600,243.82,247.43,239.51,241.05,0.6033487064931167,,,0.531493405884646,,,,0.8594073072187951,1.5275067057065193,234.0530880980392,10.355290008832899
1728567000,241.81,242.7899,232.34,238.77,0.5885212783878766,,,0.4601709417591723,,,,0.41829264465716154,1.3056638934966478,234.59514186274507,10.35718220865624
1728653400,220.13,223.34,214.38,217.8,0.37537682060130956,,,0.2829321365420358,,,,-1.4507716464277145,0.7543767855117753,234.34557456862743,10.637838564483115
1728912600,220.13,221.91,213.74,219.16,0.2245301187172599,,,0.14116818804072465,,,,-1.4503502518336546,0.3134313780426894,234.09200723529418,10.588481793193452
1728999000,220.01,224.26,217.12,219.57,0.04431386236800704,,,0.03757053265938349,,,,-1.297729669878635,-0.00880083154157546,233.89148303921561,10.519512157329583
1729085400,221.4,222.8199,218.93,221.33,-0.10219568892218285,,,-0.03976289007591046,,,,-1.211497919182228,-0.24934024906970595,233.70370686274515,10.386919914182991
1729171800,221.59,222.08,217.9,220.89,-0.24209515813075588,,,-0.10432767015100547,,,,-1.2534581351520542,-0.45016382628617563,233.47896698039216,10.262781515899333
1729258200,220.71,222.28,219.23,220.7,-0.2372135543199038,,,-0.15487993561331914,,,,-1.2363576903968074,-0.6074025991083021,233.24011729411768,10.118525885581345
1729517400,218.9,220.48,215.726,218.85,-0.2519206862934862,,,-0.2083075627348474,,,,-1.4383143739376685,-0.7735849540741754,232.8946323137255,10.015635367869718
1729603800,217.31,218.22,215.26,217.97,-0.27643582077258083,,,-0.2580183897019936,,,,-1.5466926829566976,-0.9282064998506798,232.48234027450977,9.887122660512324
1729690200,217.125,218.72,212.11,213.65,-0.3319828624760608,,,-0.30690235585411907,,,,-1.688454807037701,-1.080256161288084,231.98454431372554,9.821580207302077
1729776600,244.68,262.1199,242.65,260.48,-0.10487072274317001,,-0.10487072274317001,-0.11878181171337396,,,,1.8454132654731146,-0.49512227593584435,232.93115815686272,10.594546603156035
1729863000,256.01,269.49,255.32,269.19,0.18091728540227087,,,0.08347831624986904,,,,2.650447365794218,0.13399165241016808,234.2326808431373,10.666055671092915
1730122200,270,273.536,262.24,262.51,0.4369290873566013,,,0.26392922906822186,,,,2.9403822094607563,0.6952697638202857,235.67217411764702,10.678654557671056
1730208600,264.51,264.98,255.51,259.52,0.6827650937094163,,,0.3658296337337404,,,,2.2800349996759386,1.0122228109914164,236.83740935294117,10.654481466517636
1730295000,258.035,263.35,255.8201,257.55,0.9418784772741203,,,0.4271021866874248,,,,1.9651396531949057,1.2028061794321143,237.87403576470584,10.591989837187283
1730381400,257.99,259.75,249.25,249.85,0.8524115133431313,,,0.4438887070303739,,,,1.4638718146257244,1.2550193064708364,238.70737784313724,10.590150040443538
1730467800,252.043,254,246.63,248.98,0.6940271222846537,,,0.43067153889652177,,,,1.0494645921029948,1.2139083635972683,239.3668511764705,10.525747039634666
1730730600,244.56,248.9,238.88,242.84,0.5508107015285075,,,0.3774031354928317,,,,0.3854728518758058,1.0482212612529758,239.74089254901963,10.517232098841973
1730817000,247.34,255.2799,246.2101,251.44,0.4722819968400763,,,0.36925528666976704,,,,0.9215051053732765,1.022878030077036,240.34038196078433,10.555685456865135
1730903400,284.67,289.59,275.62,288.53,0.6131751211471074,,,0.5485573416254482,,,,3.8114014352975834,1.5805827111211455,242.26708509803922,11.107571747727832
1730989800,288.89,299.75,285.52,296.91,0.841961705333868,,,0.7250273881077666,,,,4.325062438684414,2.1294786566337995,244.45646470588235,11.170020312773277
1731076200,299.14,328.71,297.66,321.22,1.1944835091116197,,,0.9454012901847172,,,,5.556755516306437,2.8149340285683273,247.32071294117642,11.58261990651781
1731335400,346.3,358.64,336,350,1.707321670883095,,,1.2757273644673977,,,,7.95219801430208,3.842386825715078,251.5184337254902,12.099367508387452
1731421800,342.74,345.84,323.31,328.49,2.047271899660079,,,1.4437009574741204,,,,6.454728863144667,4.364855233200997,255.11329178431376,12.391180158219703
1731508200,335.85,344.5999,322.5,330.24,2.1773789398381616,,,1.5449720549832704,,1.5449720549832704,,5.939833421523703,4.679850870865538,258.5425653921569,12.585354555055309
1731594600,327.69,329.98,310.37,311.18,2.1798808734555677,,,1.5392906319052901,,,,4.591492813665218,4.662179259425475,261.3504870588235,12.731047463954202
1731681000,310.57,324.6799,309.22,320.72,2.0796336636042927,2.0796336636042927,,1.502779271828326,,,,4.094350953407367,4.548613598221854,263.94864107843136,12.785624514675115
1731940200,340.73,348.5499,330.01,338.74,1.9072143617919,,,1.5646842808629775,,,,5.5113664603470705,4.741164170646897,267.38292256862746,13.086510024381612
1732026600,335.76,347.3799,332.75,346,1.891598979438404,,,1.6015576071775002,,,,5.314621811619258,4.855855698841369,270.75857270588233,13.11737782389398
1732113000,345,346.5999,334.3,342.03,1.8533390427884358,,,1.6224883658899352,,1.6224883658899352,,5.181372941647511,4.9209591474025975,274.101161627451,13.101028267416101
1732199400,343.81,347.9899,335.28,339.64,1.905009530342283,,,1.6220420086692766,,,,4.914017355479445,4.919570789017968,277.3397349411765,13.09320570206778
1732285800,341.085,361.53,337.7,352.56,1.958157245160333,,,1.631725996637299,,1.631725996637299,,5.07017713377726,4.949692057969826,280.745128862745,13.307941588026424
1732545000,360.14,361.93,338.2,338.59,1.8705685697883556,,,1.6255279598878805,,,,4.853299573530966,4.930413561082054,284.1159453333334,13.516382756265896
1732631400,341,346.96,335.66,338.23,1.7508484214034696,,,1.5635369298615154,,,,3.9663228919317426,4.737595427251992,287.02797945098035,13.472055101140578
1732717800,341.8,342.55,326.59,332.89,1.6331786213678416,,,1.4789890721623933,,,,3.4226987289763726,4.474616087596869,289.6764044117647,13.521813999117766
1732890600,336.08,345.45,334.6501,345.16,1.5838543816250557,,,1.4194767816356015,,,,3.5490750218613814,4.289507874449772,292.4133636862745,13.502577719135411
1733149800,352.38,360,351.1501,357.09,1.5191570181762344,,,1.426459302400129,,,,4.398100732373991,4.311226446034616,295.6516856862745,13.529326164752701
1733236200,351.8,355.69,348.2,351.42,1.5046073576958376,,,1.4034046854108824,,,,3.952678747912581,4.239516906410209,298.66717531372547,13.436539641457646
1733322600,353,358.1,348.6,357.93,1.5175675589439808,,,1.384505761102534,,,,3.945598954491886,4.1807333160265445,301.702943372549,13.357808848628492
1733409000,359.87,375.43,359.5,369.49,1.5944951372263176,,,1.4072947015247899,,,,4.535149185735034,4.251616489968242,305.1171349803922,13.440652671655922
1733495400,377.42,389.49,370.8,389.22,1.6817600257409688,,,1.4782289383907123,,,,5.354792802035465,4.472251752381687,309.0581109019608,13.571839618222803
1733754600,397.61,404.8,378.01,389.79,1.7217551830629312,,,1.558848723676962,,,,5.726058677517761,4.723013137408902,313.32559074509805,13.836202825858347
1733841000,392.68,409.73,390.85,400.99,1.8182383678281406,,,1.6275513906421464,,,,5.791483852264023,4.936707280379927,317.7233539019609,13.95827876934118
1733927400,409.7,424.88,402.38,424.77,1.9542980647527248,,,1.7314244351746442,,,,6.552151207790467,5.259796065862035,322.67426411764717,14.156913193954356
1734013800,424.84,429.3,415,418.1,2.020328746162849,,,1.8203398536501085,,,,6.64261750404966,5.53636035349956,327.7520311960784,14.159774930075269
1734100200,420,436.3,415.71,436.23,2.0593271914323354,,,1.888092320678773,,,,6.5900534643652575,5.747098975672699,332.89881562745103,14.288379431473764
1734359400,441.09,463.19,436.15,463.02,2.167914582988141,,,2.0138557963787136,,,,7.702985067429158,6.138276194023992,338.834815745098,14.54341184284429
1734445800,475.9,483.99,457.5101,479.86,2.272080219033835,,,2.1793528995925726,,2.1793528995925726,,8.712103615701428,6.65304167835948,345.5314756666666,14.782141605987404
1734532200,466.495,488.5399,427.01,440.13,2.201505285077604,2.201505285077604,,2.177982398993645,,,,6.63172751663432,6.648778846014448,351.31222184313737,15.717096773867656
1734618600,451.88,456.36,420.02,436.17,2.1470574195824685,,,2.08830658402285,,,,5.254131645846558,6.369849405980871,356.36069549019606,16.129554838390302
1734705000,425.505,447.08,417.64,421.06,2.0021413012478906,,,1.9418293401519113,,,,4.0918207299165035,5.9142436707679975,360.73272403921567,16.395763741622496
1734964200,431,434.51,415.4112,430.6,1.7976667163038889,,,1.8074941192215177,,,,3.825048944012264,5.496404725416851,364.95891629411767,16.449824466790044
1735050600,435.9,462.78,435.14,462.28,1.6274244567072358,,,1.7577495840532307,,,,4.722772763235093,5.3416783329805,369.8504161568627,16.764427977454243
1735223400,465.16,465.3299,451.02,454.13,1.5637990589571085,,,1.7372581543293855,,,,5.022993578332822,5.277941382050965,374.9489424901961,16.715337417905157
1735309800,449.52,450,426.5,431.66,1.463247704960949,,,1.6269475910086941,,,,3.562380521698067,4.934829209980386,379.0959639411766,16.933630669547053
1735569000,419.4,427,415.75,417.41,1.3760650370570178,,,1.4525243650323771,,,,2.2221818386535284,4.392299735715015,382.3058873333333,16.913158056156114
1735655400,423.79,427.93,402.54,403.84,1.2328423653262714,,,1.2806715539522184,,,,1.7196277126954378,3.8577653311110995,385.14912445098037,17.08269489503299
1735828200,390.1,392.7299,373.04,379.28,0.9461292295884707,,,1.0220685511454128,,,,-0.16405430818603653,3.0534014032516725,386.6349723529412,17.35704099713233
1735914600,381.48,411.8799,379.45,410.44,0.7612511004678512,,,0.8524923140711442,,,,0.4161348857669373,2.5259480997547255,388.4627430196079,17.661898177189684
1736173800,423.2,426.43,401.7,411.05,0.6423943247388156,,,0.7791700972875911,,,,1.3856336863246617,2.2978852170687127,390.92620292156863,17.803260213645892
