time,open,high,low,close,Plot,Shapes,Shapes,Oscillator,Original,Sell Signal,Buy Signal,Raw Z,Smoothed,Baseline,ATR
1769007600,423.78,425.26,423.75,424.96,-0.36818765984667784,,,-0.9541774992450861,,,,-1.0134899566522098,-3.093553652395291,426.4228656862746,1.9589396749748715
1769008500,424.99,428.23,424.77,427.46,-0.2848739716292077,,,-0.7521499434443041,,,,0.04839900391547138,-2.4651631211331386,426.26623627450977,1.988960881475375
1769009400,427.46,429.28,427.03,428.64,-0.19663793820962486,,,-0.5318339906707003,,,,0.9612125052059578,-1.7798879958653195,426.1856676470589,1.9941816638458674
1769010300,428.71,429.55,428.25,429.25,-0.12578811965935305,,,-0.32663931337975033,,,,1.411320049095022,-1.1416463868732514,426.14516568627465,1.9802980305689502
1769011200,429.25,429.77,427.45,427.73,-0.0830661023156286,,,-0.17384762709671361,,,,1.234585126082219,-0.6664000842821574,426.09676568627447,1.987092069957571
1769012100,427.73,428.62,427.41,427.46,-0.05177137042516106,,,-0.07302367666567305,,,,0.9016240281757051,-0.3527952617905849,426.02740294117643,1.971550228558419
1769013000,427.46,427.49,423.66,423.83,-0.06967021811980699,,,-0.05900307090307443,,,,-0.13474540545157057,-0.30918529052278204,425.88066568627454,2.0087192239872502
1769013900,423.89,424.68,422.3,422.96,-0.1049691943945752,,,-0.10936607939171927,,,,-1.0924358113415198,-0.4658353946865296,425.6600088235294,2.016144839507505
1769014800,422.91,423.94,420.2,420.3,-0.16557941755453148,,,-0.1907405072696561,,,,-1.731378596520695,-0.7189440350533627,425.3879029411765,2.050621942717355
1769015700,420.32,423.75,420.06,423.63,-0.18821633120228337,,,-0.2430574035337622,,,,-1.532581613033239,-0.881671550649338,425.1329950980391,2.0834095038630074
1769016600,423.68,424.53,422.82,423.86,-0.20575459786865283,,,-0.22472564118168142,,,,-0.5965741579264644,-0.8246520721047633,424.96095294117646,2.075941313785747
1769017500,423.82,424.78,422.94,424.65,-0.18532940835532713,,,-0.19547920573778543,,,,-0.3698085970830525,-0.7336833771004212,424.81345588235297,2.0712224875100316
