time,open,high,low,close,Plot,Shapes,Shapes,Oscillator,Original,Sell Signal,Buy Signal,Raw Z,Smoothed,Baseline,ATR
1747243800,344.58,350,343.32,347.47,2.289656037619431,,,1.1981821704409303,,,,4.877639394090377,3.601188710547217,286.40941862745103,12.287312884417478
1747315800,340.31,346.12,334.72,345.43,2.3111993983637187,,,1.241290337749437,,,,4.271611219233169,3.7352732122844077,289.1188480392157,12.29656662672913
1747330200,345.41,345.45,339.6,342.77,2.271482339138338,2.271482339138338,,1.273243225420734,,,,4.2322077017291475,3.8346601101733557,291.81154019607845,12.167635294194545
1747402200,346.07,351.63,342.33,347.83,2.208492771143885,,,1.3048028202772244,,,,4.325478070616445,3.9328237022619734,294.5822382352941,12.110282588310653
1747416600,347.91,349.93,346.87,349.84,2.0989931257370493,,,1.328399459258534,,1.328399459258534,,4.299800980353877,4.006219157880355,297.3439833333333,11.92927693654444
1747661400,336.31,343,333.37,342.01,1.947363163780249,,,1.2796122401236913,,,,3.2474754699356754,3.8544704202914195,299.6375480392157,12.02009139781355
1747675800,342.01,342.75,339.31,341.97,1.8222565876437724,,,1.2463358121555408,,,,3.3369521004134928,3.7509667563158344,301.9721578431374,11.848489569857279
1747747800,347.95,354.56,342.89,350.36,1.7661742008728287,,,1.2458786694280992,,,,3.7438572271176778,3.749544850476203,304.525424509804,11.863319778460133
1747762200,350.35,354.99,341.65,343.79,1.6648462721043291,,,1.2250480576218816,,,,3.4255851023235193,3.684752900845666,306.95501862745095,11.89285338289093
1747834200,344.43,347.35,335.55,336,1.522061306646313,,,1.1600371494214852,,,,2.6736967857539593,3.4825416778273253,309.03958137254904,11.890996315233112
1747848600,336.035,340.18,332.21,334.6,1.4195847583838614,,,1.071653440460903,,,,2.1079894389380227,3.207631230049465,310.8554637254902,11.812576388928449
1747920600,331.89,345.15,331.4,344.78,1.35385064748363,,,1.0042901622914255,,,,2.1599908230591445,2.998103148651401,312.7062470588235,11.85132486114988
1747935000,344.75,347.27,340.67,341.03,1.2269416452015955,,,0.9688528240800649,,,,2.4469781375882516,2.887878146438771,314.6870647058823,11.746298363926883
1748007000,337.55,343.17,333.22,343.05,1.1515995902937226,,,0.9084802885691224,,,,1.9489584650866345,2.7000942101683436,316.42447058823535,11.710372396648344
1748021400,343.05,343.05,339.02,339.3,1.1046171469524135,,,0.8625386668766724,,,,1.9856055368798478,2.557196475510645,318.15782352941176,11.556764948715378
1748352600,347.35,363,347.25,361.52,1.1492240527308637,,,0.8857393180963227,,,,2.918015312519202,2.6293602429123566,320.34849999999994,11.79962964974107
1748367000,361.54,363.78,357.8,362.75,1.1473128459059536,,,0.9300248859748373,,,,3.3180938024537956,2.767106954820645,322.7014235294117,11.683237056746247
1748439000,364.89,364.89,358.64,362.61,1.173412708818347,,,0.9618633053817965,,,,3.262261222424986,2.8661378083415134,324.99822156862746,11.574572315611322
1748453400,362.57,364,355.9,356.76,1.1676548228151762,,,0.960484768720246,,,,2.844698668970586,2.861849980467328,327.07901176470585,11.505080869299096
1748525400,365.29,367.72,359.45,361.11,1.2117607581651446,,,0.9677236353248256,,,,2.9744295544110235,2.8843658952560673,329.2038735294117,11.494179251913115
1748539800,361.11,362.4,355.99,358.37,1.134286792323607,,,0.9424303585452477,,,,2.4910023372532994,2.8056931836555137,331.08876666666663,11.392495666874852
1748611800,355.54,363.68,345.3,348.41,1.0125876653490118,,,0.8768062434434479,,,,1.7851004137985969,2.6015746296841304,332.6462833333334,11.532245753537355
1748626200,348.31,352.42,345.45,345.78,0.8843782382182743,,,0.7886010593359866,,,,1.2297988270797524,2.3272194691632553,333.9198705882353,11.441000838466607
1748871000,343.65,348.01,333.33,338.25,0.7686361686387818,,,0.6723201801762567,,,,0.5188076626355747,1.965537107857719,334.840712745098,11.505780821697275
1748885400,338.22,343.05,337.89,342.71,0.6494831848515223,,,0.5729018467968681,,,,0.41937329169304355,1.656304344624784,335.69550784313725,11.378865205263331
1748957400,346.55,355.4,343.85,354.5,0.5881269865242146,,,0.5407735096528532,,,,1.1566412475172425,1.5563717252032758,336.8834049019608,11.405087901158064
1748971800,354.5,354.52,343.04,344.345,0.5379100177390311,,,0.5033865829567415,,,,0.9749265199760324,1.4400826841578274,337.98066666666665,11.406586143134902
1749043800,345.11,345.58,327.33,332.87,0.4503200627582858,,,0.4060216839765942,,,,-0.07414591584446376,1.1372369641573692,338.5783999999999,11.543454420272203
1749058200,332.83,335.6,331.95,332.15,0.39987601258575844,,,0.3000170186291014,,,,-0.5113581423355206,0.8075179428587913,338.954611764706,11.385585331866759
1749130200,322.51,324.55,301.5,302.37,0.1950691383000556,,,0.10735759850610185,,,,-2.188740534948356,0.20826624729736193,338.4958882352941,11.770873625229424
1749144600,302.36,305,273.22,284.57,-0.14107573433785336,,,-0.1484248595289357,,,,-3.7696879989707175,-0.587324601956254,337.16858431372555,12.171056152724836
1749216600,298.86,305.5,291.14,300.07,-0.36114655663919404,,,-0.30460097382493906,,,,-3.016191076233134,-1.07309789681163,336.1311039215686,12.346235029670337
1749231000,300.07,302,293.16,295.19,-0.5494094235857419,,,-0.43163248118903125,,,,-3.048704543220529,-1.4682192260934097,335.0312333333333,12.27611032907693
1749475800,286,297.85,281.85,297.06,-0.7208062661931187,,,-0.5608761287906867,,,,-3.4782292976588134,-1.8702212404064906,333.6481774509804,12.350588122495392
1749490200,297,309.83,296.9,308.71,-0.70085112112467,,-0.70085112112467,-0.5947886170576963,,,-0.5947886170576963,-2.397631633361536,-1.9757033189975,332.7499450980392,12.362176360045483
1749562200,314.94,321.21,310.69,319.98,-0.5498830994317363,,,-0.549235622542504,,,,-1.2672586142511195,-1.834014378048224,332.37456764705877,12.364932832844573
1749576600,320,327.81,318.05,326.1,-0.4465894648176527,,,-0.4794974743986431,,,,-0.7494397568373211,-1.6170994538060437,332.21772745098036,12.312834176187682
1749648600,334.49,335.4,326.03,330.93,-0.30258550593936373,,,-0.37896746663248937,,,,-0.05364676692962433,-1.30440891643076,332.3698862745098,12.253977492663928
1749663000,330.96,331.08,322.48,326.39,-0.18629915569436467,,,-0.3193392109461629,,,,-0.37706434899177854,-1.118940002942964,332.32048235294116,12.180897942810649
1749735000,323.13,332.56,322.77,325.1,-0.1312289871018445,,,-0.2806055892722975,,,,-0.5165508633805151,-0.9984621750304743,332.1573529411765,12.133079983954437
1749749400,325.11,325.76,316.88,319.19,-0.15577199973305053,,,-0.26998859025039273,,,,-0.833345549495408,-0.9654388499234611,331.79182941176464,12.068018384275348
1749821400,313.99,332.98,313.3,332.2,-0.14764973720217722,,,-0.2517220060311176,,,,-0.6813551140093835,-0.9086221027406457,331.44383529411766,12.220258016589842
1749835800,332.15,332.99,323.29,325.37,-0.1933541534202964,,,-0.20821979436369453,,,,-0.23207137696423694,-0.773311957585364,331.274274509804,12.169852856258045
1750080600,331.2,332.05,326.45,329.27,-0.1944833993165714,,,-0.16585398333101728,,,,-0.11443464759038284,-0.6415364955863678,331.12258823529413,12.060055799132883
1750095000,329.22,330.67,327.21,329.09,-0.1901298577533447,,,-0.1347171162722972,,,,-0.15729283992975754,-0.5446877644550457,330.91740588235297,11.888054683150225
1750167000,326.02,327.26,317.34,318.62,-0.19462626572472727,,,-0.14359083768899258,,,,-0.6826927631594834,-0.5722887641959333,330.42400392156867,11.885293589487219
1750181400,318.53,320.69,314.75,316.27,-0.27297482687451974,,,-0.17336032768819126,,,,-1.035266835723129,-0.6648843785013725,329.74135098039216,11.766387717697475
1750253400,317.32,329.33,315.45,321.99,-0.2893208248681975,,,-0.175108898661141,,,,-0.6920783283139655,-0.6703231684638911,329.1950176470588,11.808659963343525
1750267800,321.96,325.17,320.09,322.14,-0.3227588625353136,,,-0.1670519536172445,,,,-0.5450207572057809,-0.645262686212269,328.7026196078431,11.674086764076655
1750426200,327.81,332.35,317.79,321.51,-0.35450722468370605,,,-0.14448206732382907,,,,-0.2942535681187166,-0.5750608625935585,328.3171254901961,11.731805028795122
1750440600,321.51,324.64,319.63,322.02,-0.3310906485868791,,,-0.14011718302907777,,,,-0.5071777475896497,-0.5614842395927768,327.8319274509804,11.597368928219218
1750685400,327.7,357.53,327.4,351.12,-0.1542478641600565,,,-0.0357126561759882,,,,1.0622253537678696,-0.23674232092064756,328.110468627451,12.075621549654834
1750699800,351.17,354.88,346.42,348.71,-0.018475293024369448,,,0.094888384209426,,,,1.7943780583237412,0.16948175492823017,328.7565254901961,12.003309118661736
1750771800,356.16,356.24,340.48,342.23,0.08917916927499184,,,0.1874797150904041,,,,1.6094713487226018,0.4574796736871045,329.3375921568628,12.0784429362885
1750786200,342.2,343.7,340.48,340.48,0.19429376935982676,,,0.22330088180370258,,,,1.0145740238161631,0.5688985437129163,329.6402764705882,11.901274077562729
1750858200,342.71,342.98,320.4,327.03,0.23126361485544708,,,0.20615899556259534,,,,0.30230622270036184,0.5155800795104054,329.61760588235296,12.114848596011475
1750872600,326.99,328.39,322.62,327.55,0.114748261312722,,,0.1572305120961412,,,,-0.24536056538001655,0.363391950532321,329.3288705882353,11.987951624091245
1750944600,324.67,331.1,323.62,329.01,0.02068011888801577,,,0.12316410838068939,,,,-0.16641215079663416,0.25743113026653,329.079937254902,11.89779259160942
1750959000,329.01,329.11,324.77,325.72,-0.05992105150044851,,,0.09731827730070886,,,,-0.14452580721372718,0.17703974277047854,328.85019215686276,11.746636739777232
1751031000,324.54,329.32,320.07,324.57,-0.14286827908655939,,,0.06442685627345382,,,,-0.33449091084157495,0.07473361204806785,328.5374411764706,11.696704004981688
1751045400,324.53,325.88,317.5,323.73,-0.157099908528775,,,0.030540083647448882,,,,-0.45227684869850954,-0.03066848010124764,328.17014705882355,11.630369924882055
1751290200,319.89,325.57,317.81,319.8,-0.1899067703824088,,,-0.00623285122149482,,,,-0.6025648233196567,-0.14504774874492946,327.7289088235294,11.552962526384414
